system,sample_idx,latency_ms
Proposed_Edge_BC,0,120.2
Proposed_Edge_BC,1,82.7
Proposed_Edge_BC,2,93.5
Proposed_Edge_BC,3,125.8
Proposed_Edge_BC,4,125.3
Proposed_Edge_BC,5,92.8
Proposed_Edge_BC,6,125.1
Proposed_Edge_BC,7,118.3
Proposed_Edge_BC,8,98.7
Proposed_Edge_BC,9,97.1
Proposed_Edge_BC,10,105.5
Proposed_Edge_BC,11,152.0
Proposed_Edge_BC,12,123.8
Proposed_Edge_BC,13,135.6
Proposed_Edge_BC,14,135.7
Proposed_Edge_BC,15,108.3
Proposed_Edge_BC,16,127.2
Proposed_Edge_BC,17,86.3
Proposed_Edge_BC,18,123.0
Proposed_Edge_BC,19,144.5
Proposed_Edge_BC,20,97.1
Proposed_Edge_BC,21,78.4
Proposed_Edge_BC,22,134.3
Proposed_Edge_BC,23,110.5
Proposed_Edge_BC,24,133.1
Proposed_Edge_BC,25,124.6
Proposed_Edge_BC,26,99.1
Proposed_Edge_BC,27,102.3
Proposed_Edge_BC,28,129.5
Proposed_Edge_BC,29,126.1
Proposed_Edge_BC,30,126.3
Proposed_Edge_BC,31,116.9
Proposed_Edge_BC,32,147.7
Proposed_Edge_BC,33,105.0
Proposed_Edge_BC,34,83.2
Proposed_Edge_BC,35,104.5
Proposed_Edge_BC,36,103.2
Proposed_Edge_BC,37,145.2
Proposed_Edge_BC,38,99.5
Proposed_Edge_BC,39,127.2
Proposed_Edge_BC,40,145.8
Proposed_Edge_BC,41,94.2
Proposed_Edge_BC,42,91.1
Proposed_Edge_BC,43,79.7
Proposed_Edge_BC,44,103.0
Proposed_Edge_BC,45,113.2
Proposed_Edge_BC,46,134.6
Proposed_Edge_BC,47,99.1
Proposed_Edge_BC,48,82.5
Proposed_Edge_BC,49,110.6
Proposed_Edge_BC,50,110.9
Proposed_Edge_BC,51,100.6
Proposed_Edge_BC,52,106.5
Proposed_Edge_BC,53,146.4
Proposed_Edge_BC,54,81.8
Proposed_Edge_BC,55,102.9
Proposed_Edge_BC,56,136.1
Proposed_Edge_BC,57,109.2
Proposed_Edge_BC,58,119.3
Proposed_Edge_BC,59,118.8
Proposed_Edge_BC,60,116.6
Proposed_Edge_BC,61,101.2
Proposed_Edge_BC,62,100.5
Proposed_Edge_BC,63,122.0
Proposed_Edge_BC,64,115.7
Proposed_Edge_BC,65,138.4
Proposed_Edge_BC,66,141.1
Proposed_Edge_BC,67,117.1
Proposed_Edge_BC,68,85.0
Proposed_Edge_BC,69,117.9
Proposed_Edge_BC,70,106.5
Proposed_Edge_BC,71,88.7
Proposed_Edge_BC,72,119.4
Proposed_Edge_BC,73,110.1
Proposed_Edge_BC,74,121.7
Proposed_Edge_BC,75,107.6
Proposed_Edge_BC,76,123.4
Proposed_Edge_BC,77,131.6
Proposed_Edge_BC,78,144.2
Proposed_Edge_BC,79,109.8
Proposed_Edge_BC,80,116.3
Proposed_Edge_BC,81,101.2
Proposed_Edge_BC,82,104.9
Proposed_Edge_BC,83,113.6
Proposed_Edge_BC,84,107.0
Proposed_Edge_BC,85,141.4
Proposed_Edge_BC,86,167.0
Proposed_Edge_BC,87,94.3
Proposed_Edge_BC,88,118.5
Proposed_Edge_BC,89,122.5
Proposed_Edge_BC,90,84.3
Proposed_Edge_BC,91,91.6
Proposed_Edge_BC,92,99.3
Proposed_Edge_BC,93,117.1
Proposed_Edge_BC,94,108.2
Proposed_Edge_BC,95,104.0
Proposed_Edge_BC,96,98.2
Proposed_Edge_BC,97,110.6
Proposed_Edge_BC,98,134.2
Proposed_Edge_BC,99,91.1
Proposed_Edge_BC,100,99.0
Proposed_Edge_BC,101,107.2
Proposed_Edge_BC,102,97.0
Proposed_Edge_BC,103,105.2
Proposed_Edge_BC,104,149.9
Proposed_Edge_BC,105,126.8
Proposed_Edge_BC,106,121.2
Proposed_Edge_BC,107,115.5
Proposed_Edge_BC,108,137.1
Proposed_Edge_BC,109,84.8
Proposed_Edge_BC,110,124.1
Proposed_Edge_BC,111,85.7
Proposed_Edge_BC,112,108.7
Proposed_Edge_BC,113,108.1
Proposed_Edge_BC,114,88.0
Proposed_Edge_BC,115,73.6
Proposed_Edge_BC,116,127.9
Proposed_Edge_BC,117,124.2
Proposed_Edge_BC,118,107.5
