system,run,tps
Proposed_Fabric_Raft,1,499.8
Proposed_Fabric_Raft,2,499.7
Proposed_Fabric_Raft,3,499.9
Proposed_Fabric_Raft,4,502.7
Proposed_Fabric_Raft,5,499.9
AEchain_reimpl,1,196.0
AEchain_reimpl,2,201.0
AEchain_reimpl,3,199.4
AEchain_reimpl,4,199.5
AEchain_reimpl,5,200.4
Shukla_reimpl,1,150.2
Shukla_reimpl,2,151.9
Shukla_reimpl,3,151.0
Shukla_reimpl,4,150.0
Shukla_reimpl,5,148.5
Private_Ethereum_PoA,1,70.9
Private_Ethereum_PoA,2,72.4
Private_Ethereum_PoA,3,73.6
Private_Ethereum_PoA,4,72.1
Private_Ethereum_PoA,5,72.0
Public_Ethereum,1,15.4
Public_Ethereum,2,14.8
Public_Ethereum,3,15.1
Public_Ethereum,4,15.3
Public_Ethereum,5,15.4
Public_Bitcoin,1,7.1
Public_Bitcoin,2,7.2
Public_Bitcoin,3,7.1
Public_Bitcoin,4,7.2
Public_Bitcoin,5,6.9
